"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"DEXTER","M",2015,"Miniature Schnauzer",10016,"12/09/2019","10/31/2020",2022,"Manhattan",1628706,-73.9800645,40.74727
"ELLE","F",2019,"Chihuahua Crossbreed",10468,"09/06/2019","09/06/2020",2022,"Bronx",1472654,-73.8977693,40.8687887
"PRINCE","M",2019,"Shiba Inu",10025,"05/28/2019","05/28/2020",2022,"Manhattan",1628706,-73.9683102,40.7999209
"JAWS","M",2012,"Cavalier King Charles Spaniel",11377,"01/31/2019","02/15/2020",2022,"Queens",2253858,-73.9036487,40.7413334
"MR.","M",2007,"Chihuahua",11214,"07/03/2019","08/22/2020",2022,"Brooklyn",2559903,-73.9982756,40.6046106
"CHEEKU","M",2014,"Shih Tzu Crossbreed",10075,"10/11/2019","10/11/2020",2022,"Manhattan",1628706,-73.9558204,40.7728432
"FLUFFY","M",2015,"Poodle",11354,"10/30/2019","11/28/2020",2022,"Queens",2253858,-73.8272029,40.7699016
"NYMERIA","F",2014,"American Pit Bull Mix / Pit Bull Mix",11201,"08/09/2019","08/16/2020",2022,"Brooklyn",2559903,-73.9859414,40.6986772
"TWINKIE","F",2009,"Welsh Corgi, Pembroke",10305,"09/11/2019","09/30/2020",2022,"Staten Island",474558,-74.0711359,40.5944059
"LEONIDAS","M",2016,"Maltese",11436,"04/07/2019","02/03/2020",2022,"Queens",2253858,-73.7977928,40.6718171
"SALLY","F",2008,"Pug",10003,"03/26/2019","03/17/2020",2022,"Manhattan",1628706,-73.9874105,40.7322535
"MIYA","F",2006,"Miniature Pinscher",11104,"10/07/2019","11/27/2021",2022,"Queens",2253858,-73.9198161,40.7448741
"JAKE","M",2010,"Pointer, German Shorthaired",10470,"07/02/2019","07/27/2020",2022,"Bronx",1472654,-73.8683697,40.8990767
"SASHA","F",2017,"Siberian Husky",11237,"01/15/2019","02/09/2020",2022,"Brooklyn",2559903,-73.9212858,40.7043156
"ELLIE","F",2014,"Beagle Crossbreed",11217,"06/20/2019","02/12/2020",2022,"Brooklyn",2559903,-73.9785952,40.6815619
"ROCKY","M",2014,"Basenji",10312,"09/17/2019","09/29/2020",2022,"Staten Island",474558,-74.1827119,40.555548
"DUNCAN","M",2017,"Terrier mix",10310,"12/30/2019","12/20/2020",2022,"Staten Island",474558,-74.1181234,40.6307451
