"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop"
"AVA","F",2005,"Poodle, Toy",10465,"01/01/2015","01/01/2016",2016,"Bronx",1446541
"UNKNOWN","F",2013,"Jack Russell Terrier",11231,"01/01/2015","01/01/2016",2016,"Brooklyn",2640329
"OZ","M",2006,"Havanese",10025,"01/01/2015","01/03/2016",2016,"Manhattan",1663447
"YO-YO","F",2004,"American Pit Bull Mix / Pit Bull Mix",10467,"01/01/2015","01/01/2016",2016,"Bronx",1446541
"UNKNOWN","F",2014,"American Pit Bull Mix / Pit Bull Mix",11217,"01/01/2015","01/01/2016",2016,"Brooklyn",2640329
"REESY","F",2014,"Maltese",10467,"01/01/2015","01/01/2016",2016,"Bronx",1446541
"KATY","F",2010,"German Shepherd Dog",11231,"01/01/2015","01/06/2016",2016,"Brooklyn",2640329
"MAXIMUS","M",2011,"Rottweiler",11412,"01/01/2015","01/01/2016",2016,"Queens",2339150
"NENA","F",2012,"Chihuahua",10309,"01/01/2015","01/01/2016",2016,"Staten Island",475948
"SASHA","F",2014,"Border Collie",11365,"01/01/2015","01/01/2016",2016,"Queens",2339150
"FRANKIE","F",2014,"Bernese Mountain Dog",10024,"01/01/2015","01/01/2016",2016,"Manhattan",1663447
"CHASE","M",2014,"Rat Terrier",10044,"01/01/2015","01/01/2016",2016,"Manhattan",1663447
"JAYLA","F",2014,"American Pit Bull Mix / Pit Bull Mix",11218,"01/01/2015","01/01/2016",2016,"Brooklyn",2640329
"XENA","F",2013,"Labrador Retriever",11372,"01/01/2015","01/01/2016",2016,"Queens",2339150
"NAME NOT PROVIDED","F",2014,"Shih Tzu",11421,"01/01/2015","01/01/2016",2016,"Queens",2339150
"HARLEY","F",2010,"Schnauzer, Miniature",11226,"01/01/2015","01/27/2016",2016,"Brooklyn",2640329
"ROCCO","M",2003,"Shih Tzu",11228,"01/01/2015","01/30/2016",2016,"Brooklyn",2640329
"YOSHI","M",2014,"Beagle Crossbreed",10309,"01/01/2015","01/01/2016",2016,"Staten Island",475948
"BAGUETTE","M",2010,"Poodle, Toy",10467,"01/01/2015","01/01/2016",2016,"Bronx",1446541
"GRACIE","F",2014,"Maltese",10003,"01/01/2015","01/01/2016",2016,"Manhattan",1663447
"CHARLOTTE","F",2013,"Mastiff, Old English",10465,"01/01/2015","01/01/2016",2016,"Bronx",1446541
"HAYLEY","F",2014,"Chihuahua",10467,"01/01/2015","01/01/2016",2016,"Bronx",1446541
"JAKE","M",2013,"Cocker Spaniel",10029,"01/01/2015","01/01/2016",2016,"Manhattan",1663447
"POLLIE","F",2012,"American Pit Bull Terrier/Pit Bull",11102,"01/01/2015","01/01/2016",2016,"Queens",2339150
"BROCK","M",2014,"Labrador Retriever Crossbreed",11231,"01/02/2015","01/02/2016",2016,"Brooklyn",2640329
"RAJA","M",2004,"Basset Hound",10019,"01/02/2015","01/02/2016",2016,"Manhattan",1663447
"NAME NOT PROVIDED","M",2014,"Beagle",11211,"01/02/2015","01/02/2016",2016,"Brooklyn",2640329
"NAME NOT PROVIDED","M",2014,"Maltese",11109,"01/02/2015","01/02/2016",2016,"Queens",2339150
"UNKNOWN","F",2014,"American Pit Bull Mix / Pit Bull Mix",11209,"01/02/2015","01/02/2016",2016,"Brooklyn",2640329
"CARMEN","F",2012,"Poodle, Toy",11373,"01/02/2015","01/02/2016",2016,"Queens",2339150
"TELLI","M",2011,"Pointer, German Wirehaired",10023,"01/02/2015","01/02/2020",2016,"Manhattan",1663447
"NAME NOT PROVIDED","M",2014,"Bull Dog, French",10009,"01/02/2015","01/02/2016",2016,"Manhattan",1663447
"CLOVER","F",2005,"Boston Terrier",10019,"01/02/2015","01/02/2016",2016,"Manhattan",1663447
"UNKNOWN","M",2014,"Shih Tzu",10009,"01/02/2015","01/02/2016",2016,"Manhattan",1663447
"MOLLY","F",2014,"Yorkshire Terrier",11373,"01/02/2015","01/02/2016",2016,"Queens",2339150
"LARRY","M",2010,"Chihuahua",11370,"01/02/2015","01/27/2016",2016,"Queens",2339150
"WINNIE","F",2011,"Poodle, Toy",10003,"01/02/2015","01/13/2016",2016,"Manhattan",1663447
"FUTURO","M",2005,"Labrador Retriever",10024,"01/02/2015","01/30/2016",2016,"Manhattan",1663447
"REX","M",2008,"Yorkshire Terrier",10308,"01/02/2015","01/29/2016",2016,"Staten Island",475948
"GALA","F",2009,"Labrador Retriever",10024,"01/02/2015","01/04/2016",2016,"Manhattan",1663447
