"Borough","BreedName","n"
"Bronx","Yorkshire Terrier",795
"Bronx","Shih Tzu",637
"Bronx","Chihuahua",482
"Bronx","American Pit Bull Mix / Pit Bull Mix",357
"Bronx","American Pit Bull Terrier/Pit Bull",357
"Bronx","Maltese",263
"Bronx","Shih Tzu Crossbreed",186
"Bronx","Chihuahua Crossbreed",152
"Bronx","Labrador Retriever",145
"Bronx","Pomeranian",145
"Brooklyn","Yorkshire Terrier",1269
"Brooklyn","Shih Tzu",1176
"Brooklyn","Chihuahua",889
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",702
"Brooklyn","Labrador Retriever",582
"Brooklyn","Maltese",574
"Brooklyn","Labrador Retriever Crossbreed",559
"Brooklyn","American Pit Bull Terrier/Pit Bull",476
"Brooklyn","Pomeranian",348
"Brooklyn","German Shepherd Crossbreed",341
"Manhattan","Yorkshire Terrier",1140
"Manhattan","Chihuahua",1096
"Manhattan","Shih Tzu",1010
"Manhattan","Labrador Retriever",908
"Manhattan","Havanese",745
"Manhattan","Labrador Retriever Crossbreed",650
"Manhattan","Maltese",616
"Manhattan","American Pit Bull Mix / Pit Bull Mix",494
"Manhattan","Golden Retriever",481
"Manhattan","French Bulldog",476
"Queens","Yorkshire Terrier",1066
"Queens","Shih Tzu",948
"Queens","Maltese",700
"Queens","Chihuahua",687
"Queens","American Pit Bull Mix / Pit Bull Mix",467
"Queens","Labrador Retriever",417
"Queens","American Pit Bull Terrier/Pit Bull",363
"Queens","Beagle",340
"Queens","Pomeranian",337
"Queens","German Shepherd Dog",335
"Staten Island","Shih Tzu",501
"Staten Island","Yorkshire Terrier",477
"Staten Island","Labrador Retriever",344
"Staten Island","Maltese",280
"Staten Island","Chihuahua",229
"Staten Island","American Pit Bull Mix / Pit Bull Mix",226
"Staten Island","German Shepherd Dog",189
"Staten Island","Labrador Retriever Crossbreed",186
"Staten Island","American Pit Bull Terrier/Pit Bull",147
"Staten Island","Beagle",131
