"Borough","BreedName","n"
"Bronx","Yorkshire Terrier",650
"Bronx","Shih Tzu",566
"Bronx","Chihuahua",363
"Bronx","American Pit Bull Mix / Pit Bull Mix",310
"Bronx","American Pit Bull Terrier/Pit Bull",263
"Bronx","Maltese",239
"Bronx","Shih Tzu Crossbreed",230
"Bronx","Chihuahua Crossbreed",165
"Bronx","Labrador Retriever",159
"Bronx","Labrador Retriever Crossbreed",147
"Brooklyn","Yorkshire Terrier",1084
"Brooklyn","Shih Tzu",1062
"Brooklyn","Chihuahua",681
"Brooklyn","Labrador Retriever Crossbreed",643
"Brooklyn","Labrador Retriever",546
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",518
"Brooklyn","Maltese",471
"Brooklyn","Pomeranian",384
"Brooklyn","Chihuahua Crossbreed",381
"Brooklyn","Shih Tzu Crossbreed",362
"Manhattan","Yorkshire Terrier",983
"Manhattan","Chihuahua",961
"Manhattan","Shih Tzu",835
"Manhattan","Labrador Retriever",828
"Manhattan","Labrador Retriever Crossbreed",738
"Manhattan","Havanese",694
"Manhattan","Maltese",569
"Manhattan","French Bulldog",518
"Manhattan","Poodle Crossbreed",453
"Manhattan","Golden Retriever",450
"Queens","Yorkshire Terrier",1004
"Queens","Shih Tzu",852
"Queens","Chihuahua",592
"Queens","Maltese",581
"Queens","Labrador Retriever",390
"Queens","Labrador Retriever Crossbreed",388
"Queens","Shih Tzu Crossbreed",368
"Queens","American Pit Bull Mix / Pit Bull Mix",344
"Queens","Pomeranian",341
"Queens","American Pit Bull Terrier/Pit Bull",287
"Staten Island","Shih Tzu",445
"Staten Island","Yorkshire Terrier",431
"Staten Island","Labrador Retriever",285
"Staten Island","Maltese",231
"Staten Island","Chihuahua",191
"Staten Island","Labrador Retriever Crossbreed",174
"Staten Island","German Shepherd Dog",167
"Staten Island","American Pit Bull Mix / Pit Bull Mix",152
"Staten Island","Golden Retriever",128
"Staten Island","Havanese",112
