"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"BACI","M",2003,"Chihuahua",10028,"07/13/2018","07/13/2019",2018,"Manhattan",1628701,-73.9521468,40.7766412
"ZION","M",2006,"American Pit Bull Mix / Pit Bull Mix",11210,"11/28/2018","10/27/2020",2018,"Brooklyn",2582830,-73.9447994,40.6285158
"MISTER","M",2015,"Maltese",10009,"08/31/2018","06/13/2020",2018,"Manhattan",1628701,-73.9800645,40.7275043
"PAJAMAS","M",2007,"Labrador Retriever Crossbreed",10010,"03/21/2018","04/08/2020",2018,"Manhattan",1628701,-73.9815337,40.7388319
"MR.","M",2012,"Dachshund",10040,"02/21/2018","02/21/2019",2018,"Manhattan",1628701,-73.9330429,40.8639624
"BELLA","F",2015,"Dachshund Crossbreed",11372,"07/10/2018","08/16/2019",2018,"Queens",2278906,-73.8801301,40.7527924
"PARIS","F",2016,"Chihuahua",11224,"08/22/2018","08/22/2019",2018,"Brooklyn",2582830,-73.9859414,40.5749261
"SANTA","F",2018,"Terrier mix",11217,"10/12/2018","10/12/2019",2018,"Brooklyn",2582830,-73.9785952,40.6815619
"BROOKLYN","M",2012,"Poodle, Miniature",10075,"06/27/2018","08/16/2019",2018,"Manhattan",1628701,-73.9558204,40.7728432
"LILY","F",2018,"American Pit Bull Terrier/Pit Bull",11415,"06/01/2018","06/01/2019",2018,"Queens",2278906,-73.8286733,40.7071412
"ALICE","F",2018,"Pomeranian",11225,"07/26/2018","07/26/2019",2018,"Brooklyn",2582830,-73.9565551,40.6648278
"COCOA","M",2012,"Australian Terrier",10461,"10/27/2018","04/17/2020",2018,"Bronx",1479458,-73.8360251,40.8476284
"PIRATE","M",2008,"Border Terrier",10025,"08/01/2018","09/22/2019",2018,"Manhattan",1628701,-73.9683102,40.7999209
"BRANDY","F",2009,"Chihuahua",11411,"03/30/2018","04/18/2019",2018,"Queens",2278906,-73.7389596,40.6930067
"LILY","F",2017,"Chihuahua Crossbreed",10002,"04/13/2018","04/13/2019",2018,"Manhattan",1628701,-73.9859414,40.7135097
"SUKI","F",2013,"German Shepherd Crossbreed",10025,"07/05/2018","07/05/2020",2018,"Manhattan",1628701,-73.9683102,40.7999209
"DUKE","M",2011,"Bichon Frise",10306,"04/07/2018","02/07/2020",2018,"Staten Island",476179,-74.1298684,40.5729336
"MIRACLE","F",2016,"American Pit Bull Mix / Pit Bull Mix",10473,"10/01/2018","08/28/2019",2018,"Bronx",1479458,-73.859549,40.811547
"DOZER","M",2011,"Bull Dog, English",11228,"03/01/2018","04/24/2019",2018,"Brooklyn",2582830,-74.0153231,40.6137658
"WORSLEY","M",2009,"Border Terrier",10033,"07/03/2018","06/16/2019",2018,"Manhattan",1628701,-73.9447994,40.8557765
"PRINCESS","F",2016,"American Pit Bull Terrier/Pit Bull",11236,"09/22/2018","09/22/2019",2018,"Brooklyn",2582830,-73.8948295,40.6387196
"TRACY","F",2010,"Shih Tzu",11249,"09/14/2018","09/14/2019",2018,"Brooklyn",2582830,-73.9660683,40.7119031
"BEAR","F",2015,"Terrier mix",10025,"07/10/2018","07/10/2019",2018,"Manhattan",1628701,-73.9683102,40.7999209
"AUGUST","M",2018,"Dachshund Smooth Coat",11375,"08/31/2018","08/31/2019",2018,"Queens",2278906,-73.8457658,40.7245678
"GIGI","F",2016,"American Pit Bull Terrier/Pit Bull",11421,"04/05/2018","04/05/2019",2018,"Queens",2278906,-73.859549,40.693029
"BUDDY","M",2013,"Beagle Crossbreed",11218,"12/20/2018","01/15/2020",2018,"Brooklyn",2582830,-73.9800645,40.6483744
"PIPER","F",2018,"Labrador Retriever",10010,"12/17/2018","12/17/2019",2018,"Manhattan",1628701,-73.9815337,40.7388319
"SCOOBY","M",2011,"Pug",11214,"04/17/2018","05/31/2019",2018,"Brooklyn",2582830,-73.9982756,40.6046106
"MOJO","M",2016,"Miniature Schnauzer",11219,"06/15/2018","06/12/2019",2018,"Brooklyn",2582830,-73.9976946,40.6310753
"ROSS","M",2014,"Rhodesian Ridgeback",11101,"01/17/2018","12/13/2018",2018,"Queens",2278906,-73.9418603,40.7443091
"LADI","F",2013,"Poodle Crossbreed",10025,"01/02/2018","01/02/2019",2018,"Manhattan",1628701,-73.9683102,40.7999209
"OSITO","M",2017,"Poodle Crossbreed",11419,"01/11/2018","01/11/2019",2018,"Queens",2278906,-73.8213213,40.6900246
"SPIKE","M",2009,"Chinese Crested",10069,"10/18/2018","12/05/2019",2018,"Manhattan",1628701,-73.9932872,40.7750791
"FRANKIE","F",2014,"German Shepherd Crossbreed",10014,"10/05/2018","08/31/2019",2018,"Manhattan",1628701,-74.0094471,40.7366138
"PUGGY","M",2013,"Pug",11224,"05/25/2018","05/25/2020",2018,"Brooklyn",2582830,-73.9859414,40.5749261
"BANDIT","M",2009,"Shih Tzu",11697,"09/20/2018","10/13/2019",2018,"Queens",2278906,-73.9095279,40.5591088
"NOCHE","M",2007,"Chihuahua",11375,"05/25/2018","07/10/2019",2018,"Queens",2278906,-73.8457658,40.7245678
"DARLA","F",2017,"Cavalier King Charles Spaniel",10010,"04/14/2018","05/05/2020",2018,"Manhattan",1628701,-73.9815337,40.7388319
"PRINCESS","F",2000,"Poodle, Toy",10021,"05/01/2018","06/21/2019",2018,"Manhattan",1628701,-73.9580246,40.7700703
"LUCKY-OUZO","M",2007,"Yorkshire Terrier",11364,"03/03/2018","04/26/2019",2018,"Queens",2278906,-73.7536695,40.7469886
"DESI","F",2010,"Cairn Terrier",10128,"02/16/2018","03/28/2019",2018,"Manhattan",1628701,-73.9506774,40.7826039
"PETER","M",2014,"American Staffordshire Terrier",10469,"06/22/2018","06/22/2019",2018,"Bronx",1479458,-73.8477874,40.8690303
"BROWNIE","M",2013,"Shih Tzu",10306,"05/16/2018","07/02/2019",2018,"Staten Island",476179,-74.1298684,40.5729336
"BROOK","F",2017,"Terrier Crossbreed",10463,"01/03/2018","01/03/2019",2018,"Bronx",1479458,-73.9095279,40.8803247
"ZOEY","F",2016,"Cockapoo",10305,"08/04/2018","08/04/2023",2018,"Staten Island",476179,-74.0711359,40.5944059
"DENIRO","M",2015,"American Pit Bull Mix / Pit Bull Mix",10307,"10/01/2018","11/09/2019",2018,"Staten Island",476179,-74.2443436,40.5070853
"SHADOW","F",2017,"Flat-Coated Retriever",11201,"01/17/2018","01/17/2023",2018,"Brooklyn",2582830,-73.9859414,40.6986772
"FITZ","M",2015,"Jack Russell Terrier",11233,"06/05/2018","06/05/2020",2018,"Brooklyn",2582830,-73.9212858,40.6795939
"LUNA","F",2017,"Beagle",10011,"11/10/2018","11/10/2019",2018,"Manhattan",1628701,-74.0094471,40.7464969
"GRACIE","F",2006,"Dachshund Crossbreed",10306,"05/31/2018","07/10/2019",2018,"Staten Island",476179,-74.1298684,40.5729336
"ZOE","F",2014,"Siberian Husky",10014,"03/12/2018","01/19/2019",2018,"Manhattan",1628701,-74.0094471,40.7366138
"SCOUT","F",2017,"Cavalier King Charles Spaniel",11109,"04/03/2018","04/03/2019",2018,"Queens",2278906,-73.9569225,40.7449081
"FOXY","F",2011,"Shih Tzu",10019,"07/20/2018","04/10/2019",2018,"Manhattan",1628701,-73.9918181,40.7686973
"AUDREY","F",2012,"Australian Shepherd",10025,"03/06/2018","03/16/2020",2018,"Manhattan",1628701,-73.9683102,40.7999209
"PENNY","F",2005,"Dachshund Smooth Coat Miniature",11238,"06/15/2018","04/20/2019",2018,"Brooklyn",2582830,-73.9624327,40.6805029
"DIVA","F",2009,"Chihuahua",11208,"09/10/2018","10/05/2019",2018,"Brooklyn",2582830,-73.8713099,40.6749343
"SAMSON","M",2011,"Australian Silky Terrier",11228,"06/11/2018","07/22/2019",2018,"Brooklyn",2582830,-74.0153231,40.6137658
"FRANKIE","F",2010,"Pug",10038,"05/17/2018","05/11/2019",2018,"Manhattan",1628701,-74.0021019,40.7071498
"BIANCA","F",2005,"Cotton De Tulear",11231,"04/07/2018","03/16/2019",2018,"Brooklyn",2582830,-74.0094471,40.6772802
"ROSEBELLA","F",2005,"Great Pyrenees",10007,"06/07/2018","06/02/2019",2018,"Manhattan",1628701,-74.0087126,40.7136487
"PHOEBE","F",2015,"Havanese",10065,"05/04/2018","06/11/2019",2018,"Manhattan",1628701,-73.9624327,40.7645239
"CHULO","M",2005,"Labrador Retriever",11221,"01/05/2018","10/31/2018",2018,"Brooklyn",2582830,-73.9271644,40.6903213
"OLIVE","F",2016,"Labrador Retriever",11355,"12/30/2018","12/30/2019",2018,"Queens",2278906,-73.8213213,40.7493096
"GABY","F",2010,"Terrier mix",10016,"07/16/2018","08/12/2019",2018,"Manhattan",1628701,-73.9800645,40.74727
"SHI","F",2009,"Shih Tzu",10306,"05/17/2018","06/30/2019",2018,"Staten Island",476179,-74.1298684,40.5729336
"STACI","F",2013,"Terrier mix",10017,"09/08/2018","10/27/2019",2018,"Manhattan",1628701,-73.9697795,40.7519846
"WILLIE","M",2011,"Golden Retriever",10003,"10/12/2018","11/02/2019",2018,"Manhattan",1628701,-73.9874105,40.7322535
"KAMIKO","F",2012,"Maltese",10034,"07/10/2018","08/21/2019",2018,"Manhattan",1628701,-73.9212858,40.8721452
"TOMMY","M",2015,"Labrador Retriever",11420,"08/04/2018","04/21/2019",2018,"Queens",2278906,-73.8124984,40.6764003
"LOBO","M",2011,"Poodle, Miniature",10028,"12/13/2018","12/04/2019",2018,"Manhattan",1628701,-73.9521468,40.7766412
