"Borough","BreedName","n"
"Bronx","Yorkshire Terrier",723
"Bronx","Shih Tzu",602
"Bronx","Chihuahua",431
"Bronx","American Pit Bull Mix / Pit Bull Mix",325
"Bronx","Maltese",300
"Bronx","American Pit Bull Terrier/Pit Bull",265
"Bronx","Shih Tzu Crossbreed",183
"Bronx","Chihuahua Crossbreed",150
"Bronx","Yorkshire Terrier Crossbreed",149
"Bronx","Labrador Retriever Crossbreed",147
"Brooklyn","Yorkshire Terrier",1148
"Brooklyn","Shih Tzu",1121
"Brooklyn","Chihuahua",754
"Brooklyn","Labrador Retriever Crossbreed",543
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",537
"Brooklyn","Labrador Retriever",535
"Brooklyn","Maltese",500
"Brooklyn","American Pit Bull Terrier/Pit Bull",365
"Brooklyn","Pomeranian",363
"Brooklyn","Chihuahua Crossbreed",345
"Manhattan","Yorkshire Terrier",1019
"Manhattan","Chihuahua",973
"Manhattan","Shih Tzu",874
"Manhattan","Labrador Retriever",786
"Manhattan","Havanese",688
"Manhattan","Labrador Retriever Crossbreed",641
"Manhattan","Maltese",565
"Manhattan","French Bulldog",500
"Manhattan","Chihuahua Crossbreed",450
"Manhattan","American Pit Bull Mix / Pit Bull Mix",432
"Queens","Yorkshire Terrier",1006
"Queens","Shih Tzu",909
"Queens","Maltese",609
"Queens","Chihuahua",586
"Queens","Labrador Retriever",376
"Queens","Labrador Retriever Crossbreed",361
"Queens","American Pit Bull Mix / Pit Bull Mix",360
"Queens","German Shepherd Dog",314
"Queens","Pomeranian",295
"Queens","American Pit Bull Terrier/Pit Bull",294
"Staten Island","Shih Tzu",490
"Staten Island","Yorkshire Terrier",463
"Staten Island","Labrador Retriever",286
"Staten Island","Maltese",235
"Staten Island","Chihuahua",211
"Staten Island","American Pit Bull Mix / Pit Bull Mix",173
"Staten Island","German Shepherd Dog",167
"Staten Island","Labrador Retriever Crossbreed",165
"Staten Island","Golden Retriever",121
"Staten Island","Havanese",120
