"Borough","BreedName","n"
"Bronx","Maltese",11
"Bronx","Yorkshire Terrier",9
"Bronx","Chihuahua",7
"Bronx","Shih Tzu",7
"Bronx","American Pit Bull Terrier/Pit Bull",6
"Bronx","Labrador Retriever",4
"Bronx","American Pit Bull Mix / Pit Bull Mix",3
"Bronx","Bichon Frise",3
"Bronx","Rottweiler",3
"Bronx","Shiba Inu",3
"Brooklyn","Labrador Retriever",22
"Brooklyn","Yorkshire Terrier",19
"Brooklyn","Labrador Retriever Crossbreed",16
"Brooklyn","American Pit Bull Terrier/Pit Bull",14
"Brooklyn","Chihuahua",14
"Brooklyn","Beagle",11
"Brooklyn","Golden Retriever",11
"Brooklyn","Shih Tzu",11
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",10
"Brooklyn","German Shepherd Crossbreed",10
"Manhattan","Labrador Retriever",29
"Manhattan","Shih Tzu",29
"Manhattan","Yorkshire Terrier",25
"Manhattan","Chihuahua",24
"Manhattan","Maltese",23
"Manhattan","Havanese",17
"Manhattan","Labrador Retriever Crossbreed",16
"Manhattan","Bull Dog, French",15
"Manhattan","Beagle",14
"Manhattan","Cavalier King Charles Spaniel",14
"Queens","Labrador Retriever",19
"Queens","Yorkshire Terrier",14
"Queens","Maltese",13
"Queens","Chihuahua",12
"Queens","Pomeranian",11
"Queens","Beagle",10
"Queens","Shih Tzu",10
"Queens","German Shepherd Dog",8
"Queens","American Pit Bull Terrier/Pit Bull",7
"Queens","Labrador Retriever Crossbreed",7
"Staten Island","Shih Tzu",9
"Staten Island","Labrador Retriever",7
"Staten Island","American Pit Bull Mix / Pit Bull Mix",4
"Staten Island","American Pit Bull Terrier/Pit Bull",4
"Staten Island","German Shepherd Crossbreed",4
"Staten Island","German Shepherd Dog",4
"Staten Island","Jack Russell Terrier",4
"Staten Island","Labrador Retriever Crossbreed",3
"Staten Island","Poodle, Standard",3
"Staten Island","Puggle",3
