"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"VESTA","F",2001,"Basenji",11224,"02/22/2015","03/20/2016",2016,"Brooklyn",2640329,-73.9859414,40.5749261
"KAISER","M",2014,"Labrador Retriever",10011,"07/23/2015","07/23/2016",2016,"Manhattan",1663447,-74.0094471,40.7464969
"LILY","F",2010,"German Shepherd Crossbreed",10025,"10/09/2015","07/12/2020",2016,"Manhattan",1663447,-73.9683102,40.7999209
"FRANKLIN","M",2008,"Dachshund Smooth Coat Miniature",11201,"12/31/2015","12/31/2018",2016,"Brooklyn",2640329,-73.9859414,40.6986772
"EMERALD","F",2011,"American Pit Bull Terrier/Pit Bull",11225,"09/08/2015","09/08/2016",2016,"Brooklyn",2640329,-73.9565551,40.6648278
"LULU","F",2013,"Dachshund Smooth Coat",10312,"03/31/2015","04/02/2017",2016,"Staten Island",475948,-74.1827119,40.555548
"COCO","F",2000,"Jack Russell Terrier",11224,"12/27/2015","10/04/2016",2016,"Brooklyn",2640329,-73.9859414,40.5749261
"SNOOP","M",2006,"Shih Tzu",11378,"10/22/2015","10/30/2016",2016,"Queens",2339150,-73.9095279,40.7224092
"KORRA","F",2015,"Doberman Pinscher",11364,"09/18/2015","09/18/2016",2016,"Queens",2339150,-73.7536695,40.7469886
"SANDY","F",2012,"Shih Tzu",10026,"12/26/2015","12/26/2016",2016,"Manhattan",1663447,-73.9525825,40.8032131
"ARRIA","F",2012,"Australian Shepherd",10010,"11/21/2015","11/21/2017",2016,"Manhattan",1663447,-73.9815337,40.7388319
"BOWIE","F",2009,"Welsh Corgi, Pembroke",11218,"04/22/2015","06/01/2017",2016,"Brooklyn",2640329,-73.9800645,40.6483744
"TANKER","M",2005,"Mastiff, Bull",11420,"07/29/2015","07/23/2016",2016,"Queens",2339150,-73.8124984,40.6764003
"ABBY","F",2014,"Shih Tzu",10031,"03/25/2015","03/25/2016",2016,"Manhattan",1663447,-73.9506774,40.8270209
"ZOEY","F",2006,"Pekingese",10030,"12/31/2015","11/29/2016",2016,"Manhattan",1663447,-73.9433299,40.8173411
"JACOB","M",2012,"German Shepherd Dog",11238,"12/05/2015","08/05/2017",2016,"Brooklyn",2640329,-73.9624327,40.6805029
"LEXI","F",2004,"Cocker Spaniel",11354,"05/02/2015","05/02/2016",2016,"Queens",2339150,-73.8272029,40.7699016
"STORMY","M",2014,"Australian Shepherd",11218,"11/08/2015","11/10/2016",2016,"Brooklyn",2640329,-73.9800645,40.6483744
"WHISKY","M",2006,"Jack Russell Terrier",10033,"06/12/2015","05/16/2020",2016,"Manhattan",1663447,-73.9447994,40.8557765
"MAX","M",2015,"Shih Tzu",11220,"06/24/2015","06/24/2016",2016,"Brooklyn",2640329,-74.0153231,40.6385229
"NACHO","M",2009,"Shiba Inu",10028,"03/30/2015","06/02/2017",2016,"Manhattan",1663447,-73.9521468,40.7766412
"LUCY","F",2014,"Havanese",10128,"04/02/2015","04/02/2016",2016,"Manhattan",1663447,-73.9506774,40.7826039
"IVANA","F",2011,"Puggle",11355,"07/27/2015","08/31/2016",2016,"Queens",2339150,-73.8213213,40.7493096
"UNKNOWN","M",2015,"Poodle",10024,"07/13/2015","07/13/2016",2016,"Manhattan",1663447,-73.9741874,40.7859464
"BRUNO","M",2010,"Poodle, Miniature",10024,"02/23/2015","02/22/2020",2016,"Manhattan",1663447,-73.9741874,40.7859464
"UNKNOWN","M",2014,"Dachshund",10034,"01/02/2015","01/02/2016",2016,"Manhattan",1663447,-73.9212858,40.8721452
"RUSTY","M",2007,"Poodle, Miniature",11231,"07/20/2015","07/26/2016",2016,"Brooklyn",2640329,-74.0094471,40.6772802
"BEBE","M",2002,"Maltese",11364,"06/20/2015","07/30/2016",2016,"Queens",2339150,-73.7536695,40.7469886
"TINKERBELL","F",2015,"Brussels Griffon",10302,"06/08/2015","06/08/2016",2016,"Staten Island",475948,-74.1386767,40.6311567
