"Borough","BreedName","n"
"Bronx","Yorkshire Terrier",360
"Bronx","Shih Tzu",338
"Bronx","Chihuahua",297
"Bronx","American Pit Bull Terrier/Pit Bull",295
"Bronx","American Pit Bull Mix / Pit Bull Mix",177
"Bronx","Maltese",156
"Bronx","Pomeranian",82
"Bronx","Labrador Retriever",67
"Bronx","Labrador Retriever Crossbreed",64
"Bronx","German Shepherd Dog",63
"Brooklyn","Yorkshire Terrier",597
"Brooklyn","Shih Tzu",555
"Brooklyn","Chihuahua",475
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",372
"Brooklyn","American Pit Bull Terrier/Pit Bull",330
"Brooklyn","Maltese",312
"Brooklyn","Labrador Retriever",281
"Brooklyn","Labrador Retriever Crossbreed",270
"Brooklyn","Pomeranian",182
"Brooklyn","Jack Russell Terrier",179
"Manhattan","Yorkshire Terrier",626
"Manhattan","Chihuahua",580
"Manhattan","Shih Tzu",565
"Manhattan","Labrador Retriever",503
"Manhattan","Maltese",381
"Manhattan","Havanese",301
"Manhattan","Labrador Retriever Crossbreed",267
"Manhattan","Pomeranian",250
"Manhattan","American Pit Bull Mix / Pit Bull Mix",241
"Manhattan","Cavalier King Charles Spaniel",238
"Queens","Yorkshire Terrier",466
"Queens","Shih Tzu",459
"Queens","Maltese",333
"Queens","Chihuahua",314
"Queens","American Pit Bull Terrier/Pit Bull",255
"Queens","American Pit Bull Mix / Pit Bull Mix",204
"Queens","Labrador Retriever",183
"Queens","German Shepherd Dog",153
"Queens","Labrador Retriever Crossbreed",149
"Queens","Cocker Spaniel",139
"Staten Island","Yorkshire Terrier",183
"Staten Island","Labrador Retriever",147
"Staten Island","Shih Tzu",141
"Staten Island","American Pit Bull Terrier/Pit Bull",126
"Staten Island","American Pit Bull Mix / Pit Bull Mix",109
"Staten Island","Chihuahua",92
"Staten Island","Maltese",86
"Staten Island","Beagle",71
"Staten Island","German Shepherd Dog",62
"Staten Island","Boxer",57
