"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"BOBBI","F",2007,"Golden Retriever",10024,"05/05/2016","04/26/2017",2016,"Manhattan",1677062,-73.9741874,40.7859464
"COCONUT","F",2012,"Maltese",10036,"04/25/2016","03/22/2017",2016,"Manhattan",1677062,-73.9932872,40.7602619
"TOBY","M",2015,"Yorkshire Terrier",10314,"08/23/2016","09/04/2017",2016,"Staten Island",478160,-74.1827119,40.5952146
"TIFFANY","F",2006,"Beagle",10314,"11/17/2016","12/30/2017",2016,"Staten Island",478160,-74.1827119,40.5952146
"MASON","M",2015,"Shih Tzu Crossbreed",11201,"05/14/2016","05/14/2017",2016,"Brooklyn",2657924,-73.9859414,40.6986772
"CHAMP","M",2016,"American Bully",10001,"07/12/2016","07/12/2017",2016,"Manhattan",1677062,-73.9991637,40.7536854
"BAILEY","F",2015,"Cocker Spaniel",10016,"02/15/2016","02/15/2017",2016,"Manhattan",1677062,-73.9800645,40.74727
"FRITZ","M",2009,"German Shepherd Dog",11694,"06/10/2016","07/20/2017",2016,"Queens",2341116,-73.8624893,40.5722132
"GRACIE","F",2007,"Chihuahua",11209,"04/07/2016","05/15/2017",2016,"Brooklyn",2657924,-74.0329499,40.6212119
"SHIRA","F",2010,"Poodle, Miniature",10021,"08/12/2016","08/13/2017",2016,"Manhattan",1677062,-73.9580246,40.7700703
"NALA","F",2016,"Labrador Retriever",10038,"08/23/2016","08/23/2017",2016,"Manhattan",1677062,-74.0021019,40.7071498
"BES","M",2014,"French Bulldog",10023,"01/20/2016","01/20/2017",2016,"Manhattan",1677062,-73.9800645,40.7769059
"GIZMO","M",2003,"Shih Tzu",10024,"11/25/2016","12/19/2017",2016,"Manhattan",1677062,-73.9741874,40.7859464
"MOET","F",2015,"Yorkshire Terrier",10011,"01/30/2016","01/30/2017",2016,"Manhattan",1677062,-74.0094471,40.7464969
"LULU","F",2016,"Puggle",11385,"11/21/2016","11/21/2017",2016,"Queens",2341116,-73.8948295,40.6980708
"SANDY","F",2013,"Terrier mix",10025,"07/28/2016","07/01/2017",2016,"Manhattan",1677062,-73.9683102,40.7999209
"COCO","F",2007,"Labrador Retriever",11379,"07/15/2016","08/30/2017",2016,"Queens",2341116,-73.8801301,40.7182124
"ALFONSE","M",2008,"Bull Dog, English",10456,"09/30/2016","09/30/2017",2016,"Bronx",1455444,-73.9095279,40.8310224
"TOODLES","F",2016,"Yorkshire Terrier",11212,"05/20/2016","05/20/2017",2016,"Brooklyn",2657924,-73.9154069,40.6639181
"SOPHIE","F",2007,"Bichon Frise",10024,"09/21/2016","11/13/2017",2016,"Manhattan",1677062,-73.9741874,40.7859464
"MAGGIE","F",2006,"Cairn Terrier",10012,"02/02/2016","01/12/2017",2016,"Manhattan",1677062,-73.9976946,40.7250632
"MAGGIE","F",2003,"Bull Dog, English",10065,"08/29/2016","08/29/2018",2016,"Manhattan",1677062,-73.9624327,40.7645239
"SIMON","M",2008,"Siberian Husky",11432,"11/16/2016","11/03/2017",2016,"Queens",2341116,-73.7919103,40.7154518
"MADOC","M",2011,"Chihuahua Crossbreed",10032,"10/03/2016","10/03/2017",2016,"Manhattan",1677062,-73.9447994,40.8409822
"ZOEY","F",2009,"Labrador Retriever",11357,"03/30/2016","03/30/2021",2016,"Queens",2341116,-73.8124984,40.7850656
"CHARLIE","M",2010,"Bichon Frise",10468,"08/23/2016","09/30/2018",2016,"Bronx",1455444,-73.8977693,40.8687887
"BOETHIUS","M",2008,"Poodle, Standard",10023,"07/28/2016","07/13/2017",2016,"Manhattan",1677062,-73.9800645,40.7769059
"REX","M",2012,"American Pit Bull Terrier/Pit Bull",11209,"04/27/2016","06/23/2017",2016,"Brooklyn",2657924,-74.0329499,40.6212119
"HARLEY","M",2011,"German Shepherd Dog",10465,"11/10/2016","11/10/2017",2016,"Bronx",1455444,-73.8242621,40.8262186
"ANDY","M",2011,"Yorkshire Terrier",11377,"07/07/2016","06/21/2017",2016,"Queens",2341116,-73.9036487,40.7413334
"BEN","M",2013,"Chihuahua",11209,"07/01/2016","04/23/2017",2016,"Brooklyn",2657924,-74.0329499,40.6212119
"SIMON","M",2013,"Bull Dog, French",11238,"07/13/2016","09/04/2018",2016,"Brooklyn",2657924,-73.9624327,40.6805029
"LILY","F",2003,"Cavalier King Charles Spaniel",10024,"09/30/2016","09/29/2017",2016,"Manhattan",1677062,-73.9741874,40.7859464
"ADOLF","M",2011,"German Shepherd Dog",11693,"03/23/2016","04/09/2017",2016,"Queens",2341116,-73.8272029,40.6166766
"SUZY","F",2005,"Poodle, Standard",10306,"11/17/2016","12/30/2017",2016,"Staten Island",478160,-74.1298684,40.5729336
"STELLA","F",2009,"American Pit Bull Mix / Pit Bull Mix",11215,"11/01/2016","12/22/2017",2016,"Brooklyn",2657924,-73.9800645,40.6681669
"NOELLE","F",2013,"Maltese",10312,"08/04/2016","09/10/2017",2016,"Staten Island",478160,-74.1827119,40.555548
"MILO","M",2014,"Poodle",11238,"03/23/2016","03/23/2017",2016,"Brooklyn",2657924,-73.9624327,40.6805029
"ELI","M",2001,"Wire Fox Terrier",10027,"07/01/2016","01/29/2017",2016,"Manhattan",1677062,-73.9624327,40.8138912
"J","F",2010,"Chihuahua",10035,"04/01/2016","05/16/2017",2016,"Manhattan",1677062,-73.9271644,40.794065
"ZOE","M",2003,"Labrador Retriever",10128,"04/17/2016","04/17/2017",2016,"Manhattan",1677062,-73.9506774,40.7826039
"TEDDY","M",2011,"Pug",10128,"04/08/2016","01/30/2017",2016,"Manhattan",1677062,-73.9506774,40.7826039
"BLOSSOM","F",2014,"Yorkshire Terrier Crossbreed",11385,"06/25/2016","06/25/2017",2017,"Queens",2341116,-73.8948295,40.6980708
"WARREN","M",2016,"Maltese",11429,"12/14/2016","12/14/2017",2016,"Queens",2341116,-73.7389596,40.7078289
"DARWIN","M",2005,"Puggle",10025,"10/01/2016","10/01/2019",2016,"Manhattan",1677062,-73.9683102,40.7999209
"BANDIT","M",2015,"Shih Tzu",10306,"03/01/2016","04/03/2017",2016,"Staten Island",478160,-74.1298684,40.5729336
"DOLLY","F",2004,"Poodle",10027,"01/05/2016","01/05/2017",2016,"Manhattan",1677062,-73.9624327,40.8138912
"ALMA","F",2006,"Chihuahua",10009,"07/14/2016","07/14/2017",2016,"Manhattan",1677062,-73.9800645,40.7275043
"MADISON","F",2011,"Bichon Frise",11412,"10/15/2016","10/15/2017",2016,"Queens",2341116,-73.762495,40.6963978
"ANNIE","F",2008,"Chihuahua",11355,"03/01/2016","03/01/2017",2016,"Queens",2341116,-73.8213213,40.7493096
"LEXI","F",2013,"Maltese",10065,"07/03/2016","07/11/2017",2016,"Manhattan",1677062,-73.9624327,40.7645239
"ROSETTA","F",2012,"Pomeranian",11211,"08/18/2016","07/16/2017",2016,"Brooklyn",2657924,-73.9565551,40.7093358
"SPARKY","M",2014,"Jack Russell Terrier",10024,"10/24/2016","10/24/2017",2016,"Manhattan",1677062,-73.9741874,40.7859464
"DARLA","F",2015,"Shih Tzu Crossbreed",10010,"03/14/2016","03/14/2017",2016,"Manhattan",1677062,-73.9815337,40.7388319
"REX","M",2005,"Jack Russell Terrier",10018,"09/15/2016","08/24/2017",2016,"Manhattan",1677062,-73.9932872,40.755322
"CHARLIE","M",2009,"American Pit Bull Terrier/Pit Bull",11239,"08/05/2016","08/10/2017",2016,"Brooklyn",2657924,-73.8727799,40.6516509
"PRINCESS","F",2001,"Yorkshire Terrier",11106,"03/22/2016","04/29/2017",2016,"Queens",2341116,-73.9271644,40.7595044
"BISHOP","M",2010,"American Pit Bull Terrier/Pit Bull",10468,"06/29/2016","06/29/2018",2016,"Bronx",1455444,-73.8977693,40.8687887
"COCO","F",2007,"Poodle Crossbreed",11105,"04/13/2016","04/13/2017",2016,"Queens",2341116,-73.9065883,40.7787902
"ETHEL","F",2007,"Labrador Retriever",11354,"03/07/2016","03/18/2017",2016,"Queens",2341116,-73.8272029,40.7699016
"BELLA","F",2015,"Poodle, Toy",11372,"08/21/2016","07/21/2017",2016,"Queens",2341116,-73.8801301,40.7527924
"COOKIE","F",2008,"Lhasa Apso",11379,"09/30/2016","10/02/2017",2016,"Queens",2341116,-73.8801301,40.7182124
"ROCKY","M",2008,"Puggle",11357,"08/29/2016","09/16/2017",2016,"Queens",2341116,-73.8124984,40.7850656
"DAISY","F",2011,"Chihuahua",10302,"03/13/2016","01/01/2019",2016,"Staten Island",478160,-74.1386767,40.6311567
"LUNA","F",2015,"Chihuahua Crossbreed",10035,"10/01/2016","10/01/2017",2016,"Manhattan",1677062,-73.9271644,40.794065
"ADRIAN","F",2015,"Shih Tzu Crossbreed",10021,"06/09/2016","06/09/2017",2016,"Manhattan",1677062,-73.9580246,40.7700703
"SNOWFLAKE","F",2015,"American Pit Bull Mix / Pit Bull Mix",10466,"01/29/2016","01/29/2017",2016,"Bronx",1455444,-73.8477874,40.8887394
"KASH","M",2016,"Shih Tzu Crossbreed",11207,"06/25/2016","06/25/2017",2016,"Brooklyn",2657924,-73.8918897,40.6655101
"TRUFFLES","F",2008,"Bull Dog, French",10022,"06/22/2016","04/14/2017",2016,"Manhattan",1677062,-73.9697795,40.7593941
"DEXTER","M",2012,"American Pit Bull Terrier/Pit Bull",10306,"07/18/2016","08/01/2017",2016,"Staten Island",478160,-74.1298684,40.5729336
"SHELBY","F",2014,"American Pit Bull Mix / Pit Bull Mix",10307,"07/28/2016","07/28/2017",2016,"Staten Island",478160,-74.2443436,40.5070853
"CHARLIE","M",2010,"Chihuahua",11228,"05/31/2016","07/15/2017",2016,"Brooklyn",2657924,-74.0153231,40.6137658
"PUMPKIN","F",2015,"Miniature Schnauzer",11213,"01/01/2016","01/01/2017",2016,"Brooklyn",2657924,-73.9389213,40.6722134
"CHARLOTTE","F",2010,"German Shepherd Dog",11218,"01/15/2016","02/07/2017",2016,"Brooklyn",2657924,-73.9800645,40.6483744
"SAPPHIRE","F",2015,"Brussels Griffon",11208,"05/11/2016","05/11/2017",2016,"Brooklyn",2657924,-73.8713099,40.6749343
"JAX","M",2007,"Chihuahua Crossbreed",10475,"09/28/2016","08/30/2017",2016,"Bronx",1455444,-73.8272029,40.87347
"BRUTUS","M",2012,"Schnauzer, Miniature",10023,"07/26/2016","09/26/2017",2016,"Manhattan",1677062,-73.9800645,40.7769059
"WINSTON","M",2009,"Jack Russell Terrier",10016,"03/13/2016","04/22/2017",2016,"Manhattan",1677062,-73.9800645,40.74727
"GUS","M",2014,"American Pit Bull Terrier/Pit Bull",11377,"01/06/2016","01/06/2017",2016,"Queens",2341116,-73.9036487,40.7413334
"TEDDY","M",2003,"Lhasa Apso",11201,"05/07/2016","05/07/2017",2016,"Brooklyn",2657924,-73.9859414,40.6986772
